;Libellé;Budget 2012 avec budget supplémentaire SAIP mai 2012;Réalisé 2012;Budget 2013;Réalisé 2013;Budget 2014;Réalisé 2014;Budget 2015;Réalisé 2015;Budget 2016;Réalisé 2016;Budget 2017;Réalisé 2017
6528;Autres charges sociales;0;187 379;190 935;190 511;191 000;190 120;191 000;190 613;191 000;190 365;193 250;192 290
653;CONTRIBUTIONS AUX FRAIS DE SECRÉTARIAT;180 657 908;177 110 998;161 129 087;158 087 836;161 824 990;160 402 082;163 138 459;161 528 099;165 432 953;163 796 520;192 238 366;194 145 523
6531;Frais de secrétariat des groupes;9 784 910;9 718 051;10 079 005;10 289 816;10 114 511;10 166 925;10 119 511;10 101 436;10 134 511;9 848 609;10 414 685;10 296 005
6532;Frais de secrétariat des députés;107 610 443;110 344 737;108 888 394;108 781 400;110 598 999;110 968 947;112 007 468;112 227 828;114 386 962;114 090 858;119 927 521;112 199 735
6533;Crédit supplémentaire de fin de mandat;20 000 000;12 248 225;2 000 000;211 570;2 000 000;577 770;2 000 000;261 456;2 000 000;963 964;22 500 000;32 206 435
6534;Indemnité représentative de frais de mandat;43 262 555;44 799 984;40 161 688;38 805 050;39 111 480;38 688 440;39 011 480;38 937 379;38 911 480;38 893 090;39 396 160;39 443 348
654;VOYAGES ET DÉPLACEMENTS;6 747 000;6 731 884;8 568 000;7 720 755;8 416 000;7 329 139;8 354 000;7 415 086;8 055 000;7 649 168;7 668 000;7 097 942
6541;Voyages et déplacements par avion;3 625 000;3 829 468;5 100 000;4 498 299;5 200 000;3 991 970;4 900 000;4 040 044;4 720 000;4 285 685;4 190 000;3 645 394
6542;Déplacements SNCF et RATP;1 782 000;1 646 817;1 798 000;1 696 415;1 710 000;1 734 851;1 750 000;1 784 222;1 810 000;1 832 865;1 890 000;2 022 214
6543;Déplacements en taxis;720 000;798 714;870 000;1 031 528;870 000;1 103 497;1 100 000;1 095 928;1 000 000;1 015 185;1 000 000;976 341
6544;Remboursements de frais de péage et services routiers;120 000;100 549;150 000;108 681;151 000;108 243;144 000;112 600;125 000;123 707;138 000;115 836
6545;Déplacements des anciens députés;500 000;356 336;650 000;385 832;485 000;390 578;460 000;382 292;400 000;391 725;450 000;338 157
655;OFFICES PARLEMENTAIRES;550 000;102 894;225 000;77 943;215 000;59 783;400 000;139 340;400 000;221 214;260 000;92 915
6551;Office parlementaire d'évaluation des choix scientifiques et technologiques;550 000;102 894;225 000;77 943;215 000;59 783;400 000;139 340;400 000;221 214;260 000;92 915
656;CHARGES DE REPRÉSENTATION DE L'AN;4 674 200;3 535 628;5 553 800;4 432 142;5 375 370;4 371 606;5 331 472;4 165 980;5 202 472;4 514 096;4 390 200;3 340 853
6563;Frais de réception et de représentation du Président;500 000;486 080;500 000;475 138;450 000;456 933;450 000;405 251;450 000;416 612;450 000;468 143
6564;Frais de déplacement du Président;60 000;23 342;70 000;40 251;60 000;46 060;60 000;71 848;60 000;83 542;60 000;43 240
6565;Frais de mission du Cabinet du Président;40 000;36 407;60 000;54 941;60 000;54 959;60 000;29 198;60 000;28 961;60 000;14 806
6566;Frais de réception du Bureau;550 000;440 056;660 000;529 726;600 000;478 718;600 000;512 011;550 000;562 596;510 000;399 099
6567;Activités des délégations parlementaires;25 000;673;22 500;6 142;22 500;22 581;42 500;21 353;42 500;12 545;30 000;16 469
6568;Activités internationales des organes de l'Assemblée nationale;2 733 000;2 070 959;3 125 000;2 400 867;3 166 000;2 501 886;3 102 000;2 335 301;3 023 000;2 605 464;2 514 000;1 883 783
6569;Missions et réceptions des Commissions;766 200;478 112;1 116 300;925 077;1 016 870;810 468;1 016 972;791 019;1 016 972;804 376;766 200;515 312
657;AUTRES ACTIVITÉS PARLEMENTAIRES;;;;;0;87 069;20 000;24 489;30 000;111 195;30 000;46 617
6570;Autres missions et réceptions parlementaires;;;;;0;87 069;20 000;24 489;30 000;111 195;30 000;46 617
658;AUTRES CHARGES LIÉES AU MANDAT;6 423 000;6 568 697;5 705 000;5 391 051;5 750 000;4 628 360;5 990 000;4 705 049;5 878 000;4 986 390;7 623 000;6 757 297
6581;Équipement informatique des députés;3 200 000;2 980 953;2 000 000;1 724 120;1 600 000;1 050 716;1 600 000;1 168 180;1 600 000;1 419 220;3 000 000;3 589 365
6582;Équipement bureautique des groupes;110 000;182 429;225 000;179 083;260 000;222 531;200 000;271 850;350 000;116 601;490 000;472 840
6583;Frais matériels des députés;2 700 000;2 963 893;2 700 000;2 696 214;3 000 000;2 619 944;3 200 000;2 545 503;3 000 000;2 656 704;3 000 000;1 760 633
6584;Formation aux techniques de communication;120 000;66 107;120 000;42 991;60 000;25 088;120 000;117 840;123 000;117 600;63 000;0
6585;Autres formations députés;20 000;12 445;60 000;68 905;50 000;43 369;95 000;29 813;70 000;37 204;35 000;29 364
6586;Frais d'hébergement;140 000;259 005;170 000;526 278;400 000;430 554;500 000;398 131;460 000;454 170;780 000;721 921
6587;Insignes et équipements officiels;3 000;0;300 000;1 674;235 000;67 251;90 000;1 860;90 000;0;90 000;93 960
6588;Cours de langues étrangères;40 000;17 184;40 000;63 882;50 000;59 571;65 000;77 909;65 000;86 257;45 000;50 818
6589;Charges diverses;90 000;86 680;90 000;87 903;95 000;109 336;120 000;93 963;120 000;98 634;120 000;38 397
67;CHARGES EXCEPTIONNELLES;20 000;141 348;30 000;327 012;35 000;115 826;30 000;23 569;30 000;17 671;30 000;32 885
671;CHARGES EXCEPTIONNELLES SUR EXERCICE COURANT;20 000;48 379;30 000;36 706;35 000;114 147;30 000;19 621;30 000;17 668;30 000;31 602
6711;Subventions et libéralités;0;0;0;0;0;0;0;0;0;0;0;8 590
6714;Pénalités sur marchés;0;0;0;0;0;0;0;1 955;0;0;0;0
6715;Créances irrécouvrables sur exercice courant;0;13 485;0;0;0;0;0;0;0;2;0;0
6716;Secours;20 000;30 197;30 000;29 632;35 000;17 666;30 000;17 666;30 000;17 666;30 000;23 012
6719;Autres charges exceptionnelles sur exercice courant;0;4 697;0;7 074;0;96 481;0;0;0;0;0;0
674;AUTRES CHARGES EXCEPTIONNELLES SUR EXERCICES ANTERIEURS;0;92 969;0;290 306;0;1 680;0;3 948;0;4;0;1 283
6743;Annulations de recettes sur exercices antérieurs;0;0;0;0;0;167;0;0;0;0;0;0
6745;Créances irrécouvrables sur exercices antérieurs;0;34 109;0;152 671;0;1 513;0;3 948;0;4;0;1 283
6748;Autres charges exceptionnelles sur exercices antérieurs;0;58 860;0;137 635;0;0;0;0;0;0;0;0
69;DEPENSES IMPRÉVUES;549 000;0;400 000;0;2 293 000;0;2 293 000;0;2 293 000;0;2 000 000;0
699;DEPENSES IMPRÉVUES;549 000;0;400 000;0;2 293 000;0;2 293 000;0;2 293 000;0;2 000 000;0
6992;Dépenses imprévues;549 000;0;400 000;0;2 293 000;0;2 293 000;0;2 293 000;0;2 000 000;0
;TOTAL DES DEPENSES DE FONCTIONNEMENT;527 048 236;520 101 445;521 631 666;518 309 790;517 892 573;505 290 804;518 426 787;507 989 800;517 429 625;506 228 174;549 648 098;544 116 038
; DEPENSES TOTALES;551 761 800;541 693 524;537 824 766;530 617 794;537 824 766;519 385 224;536 951 980;525 184 081;536 718 918;524 267 220;584 762 398;576 295 299
70;VENTES DE MARCHANDISES;302 000;255 137;201 000;135 532;355 500;227 287;317 000;291 561;198 000;256 078;172 000;240 780
707;VENTES DE MARCHANDISES;56 000;44 805;55 000;49 642;53 500;74 070;58 000;58 944;56 000;61 363;41 000;47 347
7071;Vente de médailles;50 000;40 090;50 000;44 704;50 000;57 006;50 000;48 352;50 000;52 097;35 000;38 249
7072;Vente d'accessoires;0;0;0;0;0;0;0;0;0;0;0;1 320
7074;Vente de denrées pour distributeurs;6 000;3 891;5 000;4 034;3 500;15 579;8 000;7 116;6 000;6 905;6 000;6 951
7075;Autres marchandises;0;825;0;904;0;1 485;0;3 476;0;2 361;0;828
708;AUTRES PRODUITS ANNEXES;246 000;210 331;146 000;85 890;302 000;153 217;259 000;232 617;142 000;194 715;131 000;193 432
7081;Délivrance de photocopies;30 000;20 154;30 000;44 977;40 000;38 607;40 000;36 525;30 000;31 705;18 000;13 264
7082;Remboursements de communications téléphoniques;200 000;172 479;100 000;24 249;250 000;69 799;205 000;157 079;100 000;125 528;100 000;145 357
7083;Ventes de catalogues;1 000;221;1 000;0;1 000;0;1 000;0;1 000;0;500;0
7088;Autres produits d'activités annexes;15 000;17 478;15 000;16 664;11 000;44 812;13 000;39 013;11 000;37 482;12 500;34 811
72;VENTES DE DOCUMENTS  ET DE PUBLICATIONS;190 000;100 158;40 000;25 936;38 000;38 735;29 000;15 431;31 000;12 598;28 000;22 709
721;VENTES DE DOCUMENTS PARLEMENTAIRES;150 000;68 138;10 000;6 745;8 000;16 366;6 000;5 045;8 000;5 143;8 000;4 993
7211;Vente de documents parlementaires par la Boutique;20 000;7 412;10 000;6 745;8 000;16 366;6 000;5 045;8 000;5 143;8 000;4 993
7212;Ventes de documents par les Journaux officiels;130 000;60 726;0;0;0;0;0;0;0;0;0;0
722;VENTES DE PUBLICATIONS DE L'AN;40 000;32 020;30 000;19 192;30 000;22 369;23 000;10 386;23 000;7 455;20 000;17 716
7220;Ventes de publications de l'Assemblée nationale;40 000;32 020;30 000;19 192;30 000;22 369;23 000;10 386;23 000;7 455;20 000;17 716
73;CESSIONS D'APPROVISIONNEMENT;0;1 417;0;0;0;0;0;0;0;0;0;0
731;CESSIONS DE FOURNITURES;0;1 417;0;0;0;0;0;0;0;0;0;0
7310;Cessions de fournitures;0;1 417;0;0;0;0;0;0;0;0;0;0
74;DOTATION;517 890 000;517 890 000;517 890 000;517 890 000;517 890 000;517 890 000;517 890 000;517 890 000;517 890 000;517 890 000;517 890 000;517 890 000
740;DOTATION DE L'ÉTAT;517 890 000;517 890 000;517 890 000;517 890 000;517 890 000;517 890 000;517 890 000;517 890 000;517 890 000;517 890 000;517 890 000;517 890 000
7400;Dotation de l'État;517 890 000;517 890 000;517 890 000;517 890 000;517 890 000;517 890 000;517 890 000;517 890 000;517 890 000;517 890 000;517 890 000;517 890 000
75;PRODUITS DE GESTION COURANTE;3 192 300;5 167 766;3 227 195;5 655 746;3 701 300;3 929 203;3 641 000;4 110 811;3 457 000;4 752 339;3 717 250;8 350 235
752;REVENUS DES IMMEUBLES;200 000;159 393;300 000;183 456;200 000;182 162;220 000;108 229;140 000;70 602;90 000;65 053
7520;Revenus des immeubles;200 000;159 393;300 000;183 456;200 000;182 162;220 000;108 229;140 000;70 602;90 000;65 053
753;REVENUS HLM-ILM;300;82;300;0;300;0;0;0;0;0;0;0
7530;Retenues HLM-ILM;300;82;300;0;300;0;0;0;0;0;0;0
754;REMBOURSEMENTS DES ORGANISMES SOCIAUX;625 000;501 629;625 000;558 061;500 000;579 911;570 000;699 571;600 000;755 490;600 000;514 262
7540;Remboursements CPAM;625 000;501 629;625 000;558 061;500 000;579 911;570 000;699 571;600 000;755 490;600 000;514 262
755;REVERSEMENTS DU SÉNAT;305 000;17 706;0;0;0;3 060;200 000;69 115;200 000;109 918;130 000;43 813
7551;Subvention du Sénat à l'OPECST;305 000;17 706;0;0;0;3 060;200 000;69 115;200 000;109 918;130 000;43 813
756;REDEVANCES DE GESTION;1 862 000;1 902 955;1 911 000;1 954 383;1 910 000;1 905 351;1 960 000;1 845 654;1 906 000;1 801 134;1 861 000;1 811 618
7560;Redevances de gestion des fonds de sécurité sociale;1 862 000;1 902 955;1 911 000;1 954 383;1 910 000;1 905 351;1 960 000;1 845 654;1 906 000;1 801 134;1 861 000;1 811 618
757;COTISATIONS PERÇUES FAMDRE;0;187 379;190 895;190 511;191 000;190 120;191 000;190 613;191 000;190 365;193 250;192 290
7570;Cotisations perçues FAMDRE;0;187 379;190 895;190 511;191 000;190 120;191 000;190 613;191 000;190 365;193 250;192 290
758;PRODUITS DIVERS DE GESTION COURANTE;200 000;2 398 621;200 000;2 769 335;900 000;1 068 599;500 000;1 197 628;420 000;1 824 831;843 000;5 723 199
7580;Produits divers de gestion courante;200 000;2 398 621;200 000;2 769 335;900 000;1 068 599;500 000;1 197 628;420 000;1 824 831;843 000;5 723 199
77;PRODUITS EXCEPTIONNELS;1 010 000;614 905;990 000;1 589 859;310 000;665 403;250 000;377 456;185 000;215 507;170 000;84 170
771;PRODUITS EXCEPTIONNELS SUR EXERCICE COURANT;210 000;179 357;210 000;365 485;210 000;434 341;145 000;103 222;145 000;69 952;140 000;62 000
7714;Ristournes des sociétés de transport;60 000;60 472;60 000;45 000;60 000;0;45 000;78 992;45 000;40 000;40 000;44 960
7718;Autres produits exceptionnels sur exercice courant;150 000;118 885;150 000;320 485;150 000;434 341;100 000;24 230;100 000;29 952;100 000;17 040
774;PRODUITS EXCEPTIONNELS SUR EXERCICES ANTÉRIEURS;700 000;17 743;700 000;47 777;0;2 905;0;1 444;0;0;0;6 039
7743;Produits sur annulations de mandats;700 000;0;700 000;96;0;0;0;1 444;0;0;0;0
7748;Autres produits exceptionnels sur exercices antérieurs;0;17 743;0;47 680;0;2 905;0;0;0;0;0;6 039
775;PRODUITS DE CESSIONS D'ACTIFS;50 000;35 484;30 000;33 003;30 000;65 276;25 000;256 306;30 000;109 345;30 000;11 460
7752;Produits des cessions d'immobilisations corporelles;50 000;35 484;30 000;33 003;30 000;65 276;25 000;256 306;30 000;109 345;30 000;11 460
776;REMBOURSEMENTS DES COMPAGNIES D'ASSURANCE;50 000;382 322;50 000;1 143 594;70 000;162 881;80 000;16 484;10 000;36 210;0;4 671
7761;Remboursements responsabilité civile;0;0;0;1 080 521;0;0;0;15 571;0;36 210;0;4 671
7764;Remboursements véhicules;0;0;0;400;0;1 600;0;0;0;0;0;0
7765;Remboursements divers;50 000;382 322;50 000;62 673;70 000;161 281;80 000;913;10 000;0;0;0
;TOTAL DES RESSOURCES;522 584 300;524 029 382;522 348 195;525 297 074;522 294 800;522 750 628;522 127 000;522 685 259;521 761 000;523 126 522;521 977 250;526 587 895
